E_true,E_pred_v5,Error_v5,|Error_v5|,E_pred_v6,Error_v6,|Error_v6|,E_pred_v7,Error_v7,|Error_v7|
286.60654,288.64493,2.038391,2.038391,285.33572,-1.270813,1.270813,285.2137,-1.3928223,1.3928223
260.23077,258.28665,-1.9441223,1.9441223,261.68616,1.4553833,1.4553833,261.65762,1.4268494,1.4268494
122.32089,122.98071,0.65982056,0.65982056,121.08369,-1.2372055,1.2372055,120.89141,-1.4294815,1.4294815
64.87159,66.4218,1.550209,1.550209,64.36255,-0.50904083,0.50904083,64.383026,-0.48856354,0.48856354
237.14056,239.6396,2.4990387,2.4990387,241.33397,4.193405,4.193405,241.64847,4.507904,4.507904
174.70476,172.8812,-1.8235626,1.8235626,172.32486,-2.379898,2.379898,172.1086,-2.596161,2.596161
170.30234,167.12344,-3.178894,3.178894,166.55795,-3.7443848,3.7443848,166.3671,-3.9352417,3.9352417
125.50073,127.01563,1.5149002,1.5149002,127.724335,2.2236023,2.2236023,127.36133,1.8605957,1.8605957
78.03406,76.68401,-1.3500443,1.3500443,78.42533,0.3912735,0.3912735,78.24834,0.21427917,0.21427917
11.65638,12.542456,0.886076,0.886076,11.785551,0.12917137,0.12917137,11.755415,0.09903526,0.09903526
91.69523,88.90914,-2.786087,2.786087,90.15141,-1.5438156,1.5438156,89.48181,-2.213417,2.213417
341.25247,342.32135,1.0688782,1.0688782,342.0209,0.7684326,0.7684326,340.68848,-0.56399536,0.56399536
306.14706,304.6177,-1.5293579,1.5293579,305.92734,-0.21972656,0.21972656,305.78983,-0.35723877,0.35723877
95.02756,94.78534,-0.24221802,0.24221802,92.611916,-2.4156418,2.4156418,92.58278,-2.4447784,2.4447784
263.1248,266.33453,3.2097473,3.2097473,267.3686,4.243805,4.243805,267.39706,4.272278,4.272278
230.50421,229.53401,-0.9701996,0.9701996,231.77939,1.275177,1.275177,231.65636,1.1521454,1.1521454
96.92186,99.350006,2.4281464,2.4281464,100.106926,3.1850662,3.1850662,100.00777,3.085907,3.085907
56.131493,54.874577,-1.256916,1.256916,57.127567,0.9960747,0.9960747,56.981964,0.8504715,0.8504715
81.257484,82.35866,1.1011734,1.1011734,81.554825,0.2973404,0.2973404,81.67252,0.41503906,0.41503906
130.40613,125.30561,-5.1005173,5.1005173,126.0963,-4.3098297,4.3098297,126.351654,-4.054474,4.054474
60.914093,63.871536,2.9574432,2.9574432,64.52114,3.607048,3.607048,64.39675,3.4826584,3.4826584
192.06752,193.997,1.9294739,1.9294739,194.24055,2.1730347,2.1730347,193.97856,1.9110413,1.9110413
289.43768,287.48294,-1.9547424,1.9547424,287.12537,-2.312317,2.312317,287.3906,-2.0470886,2.0470886
134.76501,137.4686,2.7035828,2.7035828,136.38208,1.6170654,1.6170654,136.1103,1.3452911,1.3452911
53.3361,55.5538,2.2176971,2.2176971,55.891315,2.555214,2.555214,55.909676,2.573574,2.573574
222.6912,224.2493,1.5581055,1.5581055,222.7296,0.038406372,0.038406372,222.53952,-0.15167236,0.15167236
20.21847,18.281591,-1.9368782,1.9368782,20.66969,0.45121956,0.45121956,20.482252,0.2637825,0.2637825
112.3774,112.78049,0.4030838,0.4030838,111.38176,-0.9956436,0.9956436,111.34927,-1.0281296,1.0281296
315.27072,314.7994,-0.47131348,0.47131348,311.58084,-3.6898804,3.6898804,311.54538,-3.7253418,3.7253418
14.639324,12.801909,-1.8374147,1.8374147,13.164115,-1.4752092,1.4752092,13.267942,-1.3713818,1.3713818
282.86194,281.6165,-1.2454529,1.2454529,281.1748,-1.6871338,1.6871338,280.81696,-2.044983,2.044983
132.67125,132.7152,0.043945312,0.043945312,134.44595,1.774704,1.774704,134.35762,1.6863708,1.6863708
177.2028,176.84204,-0.36076355,0.36076355,176.62827,-0.5745392,0.5745392,177.31131,0.10850525,0.10850525
76.97876,75.631134,-1.3476257,1.3476257,75.107254,-1.8715057,1.8715057,74.96821,-2.0105515,2.0105515
83.38562,83.55631,0.17069244,0.17069244,81.60712,-1.7785034,1.7785034,81.5585,-1.8271179,1.8271179
280.19928,273.14136,-7.0579224,7.0579224,281.05276,0.8534851,0.8534851,281.30823,1.1089478,1.1089478
132.23175,131.76363,-0.4681244,0.4681244,131.01054,-1.2212067,1.2212067,130.62785,-1.6038971,1.6038971
215.0195,209.10437,-5.9151306,5.9151306,213.2578,-1.7617035,1.7617035,212.87405,-2.1454468,2.1454468
246.47224,243.14763,-3.3246155,3.3246155,244.33183,-2.1404114,2.1404114,244.1045,-2.3677368,2.3677368
15.289129,16.69943,1.4103012,1.4103012,16.809752,1.5206223,1.5206223,16.55806,1.2689304,1.2689304
76.9415,80.582565,3.6410675,3.6410675,78.86917,1.9276733,1.9276733,78.77317,1.8316727,1.8316727
101.60182,101.72378,0.12195587,0.12195587,101.82364,0.22181702,0.22181702,101.72843,0.1266098,0.1266098
196.82664,176.98706,-19.839584,19.839584,171.59511,-25.231537,25.231537,172.65997,-24.166672,24.166672
254.17508,258.0647,3.889618,3.889618,256.8608,2.68573,2.68573,256.60083,2.4257507,2.4257507
205.95699,202.20213,-3.7548523,3.7548523,204.4608,-1.4961853,1.4961853,204.23672,-1.7202606,1.7202606
231.55904,233.377,1.8179626,1.8179626,234.73506,3.1760254,3.1760254,234.21954,2.6605072,2.6605072
187.0769,185.18329,-1.8936157,1.8936157,184.21292,-2.8639832,2.8639832,184.51488,-2.562027,2.562027
260.06348,263.2167,3.1532288,3.1532288,262.55695,2.4934692,2.4934692,262.0978,2.0343323,2.0343323
256.11014,253.43523,-2.6749115,2.6749115,257.49628,1.3861389,1.3861389,257.34702,1.2368774,1.2368774
54.64436,55.375633,0.73127365,0.73127365,55.678944,1.034584,1.034584,55.480328,0.835968,0.835968
102.34844,99.96331,-2.3851318,2.3851318,100.85493,-1.493515,1.493515,100.92379,-1.4246521,1.4246521
87.12595,85.22778,-1.8981705,1.8981705,86.242294,-0.88365936,0.88365936,85.98491,-1.1410446,1.1410446
18.564144,19.849602,1.2854576,1.2854576,19.343838,0.7796936,0.7796936,19.366074,0.8019295,0.8019295
241.08163,238.80205,-2.2795868,2.2795868,239.26329,-1.8183441,1.8183441,238.59338,-2.4882507,2.4882507
261.77814,261.49454,-0.28359985,0.28359985,265.35233,3.5741882,3.5741882,265.1545,3.3763733,3.3763733
26.3296,26.869146,0.53954697,0.53954697,26.529018,0.19941902,0.19941902,26.530287,0.20068741,0.20068741
209.9741,209.6265,-0.34761047,0.34761047,210.03358,0.05947876,0.05947876,209.83208,-0.14202881,0.14202881
86.21608,84.49457,-1.7215118,1.7215118,84.65732,-1.5587616,1.5587616,84.38754,-1.828537,1.828537
338.88446,337.94357,-0.94088745,0.94088745,338.3696,-0.51486206,0.51486206,337.77466,-1.1098022,1.1098022
125.028885,127.92338,2.894493,2.894493,128.17381,3.144928,3.144928,127.97489,2.9460068,2.9460068
335.56506,332.3925,-3.172577,3.172577,331.2929,-4.272156,4.272156,331.44495,-4.120117,4.120117
187.25029,193.27164,6.021347,6.021347,193.82236,6.5720673,6.5720673,193.3108,6.0605164,6.0605164
101.87522,103.82941,1.9541855,1.9541855,102.30452,0.4292984,0.4292984,102.284454,0.4092331,0.4092331
229.05077,228.55403,-0.49673462,0.49673462,230.38084,1.3300781,1.3300781,229.91934,0.86857605,0.86857605
256.5121,255.65251,-0.85957336,0.85957336,260.7287,4.216614,4.216614,260.37222,3.860138,3.860138
204.97249,200.4866,-4.4858856,4.4858856,202.53635,-2.436142,2.436142,202.08731,-2.8851776,2.8851776
334.51025,331.84186,-2.668396,2.668396,334.1622,-0.34805298,0.34805298,333.20282,-1.3074341,1.3074341
285.6062,287.26236,1.6561584,1.6561584,286.17484,0.56863403,0.56863403,285.80728,0.20108032,0.20108032
133.13025,127.51734,-5.6129074,5.6129074,132.6634,-0.46684265,0.46684265,132.45108,-0.6791687,0.6791687
104.17893,101.541275,-2.6376572,2.6376572,100.9295,-3.2494354,3.2494354,100.69653,-3.482399,3.482399
89.027275,91.05345,2.0261765,2.0261765,89.75818,0.7309036,0.7309036,89.75597,0.7286911,0.7286911
60.94519,57.695477,-3.249714,3.249714,57.818535,-3.1266556,3.1266556,57.515255,-3.4299355,3.4299355
153.67955,156.55292,2.8733673,2.8733673,157.76865,4.089096,4.089096,157.41597,3.7364197,3.7364197
97.59741,96.292435,-1.3049774,1.3049774,95.41068,-2.1867294,2.1867294,95.417206,-2.1802063,2.1802063
40.63064,39.08954,-1.5410995,1.5410995,39.951324,-0.67931366,0.67931366,39.839806,-0.7908325,0.7908325
17.170164,19.00395,1.833786,1.833786,18.09923,0.9290657,0.9290657,17.924913,0.7547493,0.7547493
174.97464,172.7904,-2.1842346,2.1842346,171.60777,-3.366867,3.366867,171.31143,-3.663208,3.663208
298.00998,296.5417,-1.4682922,1.4682922,296.47098,-1.5390015,1.5390015,296.10336,-1.9066162,1.9066162
107.426796,106.37435,-1.0524445,1.0524445,105.33734,-2.0894547,2.0894547,105.04307,-2.383728,2.383728
