E_true,E_pred_1,Error_1,|Error_1|,E_pred_2,Error_2,|Error_2|,E_pred_3,Error_3,|Error_3|
243.61046,251.19156,7.5811005,7.5811005,245.91286,2.3023987,2.3023987,245.6713,2.0608368,2.0608368
58.240814,62.1113,3.8704872,3.8704872,58.983997,0.74318314,0.74318314,59.055126,0.814312,0.814312
26.129885,24.443537,-1.686348,1.686348,26.580765,0.45088005,0.45088005,26.642727,0.5128422,0.5128422
19.799856,18.741968,-1.057888,1.057888,20.20382,0.4039631,0.4039631,20.196533,0.39667702,0.39667702
128.77579,128.5648,-0.21098328,0.21098328,130.1576,1.3818054,1.3818054,130.04912,1.2733307,1.2733307
290.33203,291.84576,1.5137329,1.5137329,293.68634,3.354309,3.354309,293.81168,3.4796448,3.4796448
325.62753,328.1891,2.561554,2.561554,328.90558,3.2780457,3.2780457,328.66827,3.040741,3.040741
272.11377,270.14944,-1.964325,1.964325,274.6208,2.507019,2.507019,274.1772,2.0634155,2.0634155
210.66032,218.66942,8.009094,8.009094,213.09276,2.432434,2.432434,212.95828,2.2979584,2.2979584
313.29172,311.81924,-1.4724731,1.4724731,316.14896,2.8572388,2.8572388,315.92822,2.6365051,2.6365051
193.43216,200.53831,7.1061554,7.1061554,195.33134,1.8991852,1.8991852,195.18066,1.7485046,1.7485046
109.86653,112.64372,2.7771912,2.7771912,112.82326,2.956726,2.956726,112.633896,2.7673645,2.7673645
89.06257,89.66597,0.6034012,0.6034012,89.996956,0.9343872,0.9343872,89.83596,0.7733917,0.7733917
236.27756,235.59885,-0.67871094,0.67871094,238.59296,2.3153992,2.3153992,238.27788,2.0003204,2.0003204
120.66697,121.594955,0.92798615,0.92798615,122.03065,1.363678,1.363678,121.89015,1.2231827,1.2231827
178.22006,176.40353,-1.8165283,1.8165283,182.2026,3.982544,3.982544,182.57114,4.351074,4.351074
71.25747,71.61594,0.3584671,0.3584671,72.01922,0.76174927,0.76174927,71.893555,0.6360855,0.6360855
349.40622,340.83868,-8.567535,8.567535,352.99753,3.5913086,3.5913086,352.20786,2.8016357,2.8016357
91.113,90.16114,-0.9518585,0.9518585,92.09085,0.97785187,0.97785187,92.02839,0.91539,0.91539
258.09668,248.42294,-9.673737,9.673737,260.5949,2.49823,2.49823,260.37207,2.2753906,2.2753906
345.9136,344.02798,-1.8856201,1.8856201,348.63623,2.7226257,2.7226257,346.92596,1.0123596,1.0123596
176.5416,174.67604,-1.8655548,1.8655548,178.39139,1.8497925,1.8497925,178.16109,1.6194916,1.6194916
162.95326,160.25426,-2.6990051,2.6990051,164.83438,1.8811188,1.8811188,164.73112,1.7778625,1.7778625
75.61096,76.37661,0.7656479,0.7656479,76.44208,0.8311157,0.8311157,76.41594,0.8049774,0.8049774
315.7416,323.231,7.48938,7.48938,319.52832,3.7867126,3.7867126,319.36026,3.6186523,3.6186523
83.32062,87.099014,3.7783966,3.7783966,84.50975,1.1891327,1.1891327,84.60683,1.2862091,1.2862091
65.93956,63.372913,-2.5666466,2.5666466,66.63497,0.6954117,0.6954117,66.34926,0.4096985,0.4096985
276.45047,271.86563,-4.584839,4.584839,280.58066,4.130188,4.130188,280.62408,4.1736145,4.1736145
116.178925,117.21776,1.0388336,1.0388336,117.36684,1.187912,1.187912,117.22656,1.0476379,1.0476379
57.775517,58.0823,0.30678177,0.30678177,58.39631,0.6207924,0.6207924,58.307083,0.5315666,0.5315666
12.900419,13.138505,0.23808575,0.23808575,13.378194,0.47777462,0.47777462,13.328643,0.4282236,0.4282236
278.1051,278.8741,0.76901245,0.76901245,280.87643,2.7713318,2.7713318,280.6737,2.5686035,2.5686035
290.69928,296.51987,5.820587,5.820587,295.18896,4.489685,4.489685,295.27084,4.5715637,4.5715637
10.435273,11.20093,0.7656565,0.7656565,9.643318,-0.791955,0.791955,11.664713,1.2294397,1.2294397
249.88655,252.97972,3.0931702,3.0931702,252.273,2.386444,2.386444,252.0018,2.1152496,2.1152496
159.8142,160.27216,0.45796204,0.45796204,161.65579,1.8415985,1.8415985,161.43417,1.6199799,1.6199799
14.159506,12.851822,-1.307684,1.307684,14.629432,0.46992588,0.46992588,14.60643,0.4469242,0.4469242
225.48543,218.49638,-6.989044,6.989044,228.58144,3.0960083,3.0960083,228.53491,3.0494843,3.0494843
134.28143,127.96045,-6.320984,6.320984,135.69397,1.4125366,1.4125366,135.47383,1.1923981,1.1923981
302.02893,301.37115,-0.6577759,0.6577759,305.1817,3.152771,3.152771,305.10712,3.078186,3.078186
135.98642,133.151,-2.8354187,2.8354187,137.37573,1.3893127,1.3893127,137.18372,1.1972961,1.1972961
216.93382,222.65016,5.716339,5.716339,219.6091,2.6752777,2.6752777,219.3626,2.428772,2.428772
155.8375,147.58853,-8.248962,8.248962,157.41112,1.5736237,1.5736237,157.29247,1.4549713,1.4549713
90.467865,92.444695,1.9768295,1.9768295,91.434975,0.9671097,0.9671097,91.38037,0.9125061,0.9125061
219.9847,203.79175,-16.192947,16.192947,223.12617,3.1414795,3.1414795,223.30757,3.322876,3.322876
177.38931,171.87982,-5.509491,5.509491,179.23741,1.8480988,1.8480988,179.0724,1.6830902,1.6830902
182.46715,181.83366,-0.6334839,0.6334839,184.63914,2.171997,2.171997,184.6201,2.152954,2.152954
120.564926,116.930244,-3.6346817,3.6346817,121.90057,1.3356476,1.3356476,121.863594,1.2986679,1.2986679
336.5618,337.87012,1.3083191,1.3083191,339.5381,2.9762878,2.9762878,339.0331,2.4713135,2.4713135
75.07567,76.28405,1.2083817,1.2083817,76.03383,0.9581604,0.9581604,76.00254,0.92687225,0.92687225
93.554695,90.469124,-3.0855713,3.0855713,94.55384,0.9991455,0.9991455,94.451675,0.8969803,0.8969803
142.87688,151.62534,8.748459,8.748459,152.52364,9.646759,9.646759,148.25867,5.38179,5.38179
133.47113,132.95491,-0.5162201,0.5162201,134.81891,1.3477783,1.3477783,134.60173,1.1306,1.1306
324.40622,326.36328,1.9570618,1.9570618,327.2247,2.8184814,2.8184814,326.86694,2.4607239,2.4607239
322.29163,317.12582,-5.165802,5.165802,325.68817,3.3965454,3.3965454,325.4493,3.1576843,3.1576843
315.30377,317.23715,1.9333801,1.9333801,318.05524,2.7514648,2.7514648,317.5762,2.2724304,2.2724304
262.8594,261.46426,-1.3951416,1.3951416,265.55624,2.6968384,2.6968384,265.40396,2.5445557,2.5445557
234.3797,231.12657,-3.253128,3.253128,237.03757,2.6578674,2.6578674,236.80843,2.4287262,2.4287262
102.52423,100.32061,-2.203621,2.203621,103.585236,1.0610046,1.0610046,103.47885,0.95462036,0.95462036
211.73555,211.72552,-0.010025024,0.010025024,214.77734,3.0417938,3.0417938,215.08955,3.354004,3.354004
254.15717,249.09631,-5.060852,5.060852,257.9101,3.7529297,3.7529297,257.78104,3.6238708,3.6238708
175.35347,170.20464,-5.148834,5.148834,177.15862,1.8051453,1.8051453,176.88158,1.5281067,1.5281067
166.04686,169.77507,3.7282104,3.7282104,168.92683,2.8799744,2.8799744,168.84059,2.7937317,2.7937317
86.57423,87.157295,0.58306885,0.58306885,87.525856,0.95162964,0.95162964,87.47287,0.8986435,0.8986435
54.7539,57.23932,2.4854202,2.4854202,55.4118,0.65790176,0.65790176,55.434185,0.6802864,0.6802864
72.98264,71.06416,-1.9184799,1.9184799,73.88339,0.9007492,0.9007492,73.722176,0.7395325,0.7395325
188.09372,188.58104,0.48731995,0.48731995,190.4725,2.3787842,2.3787842,190.74823,2.6545105,2.6545105
291.4063,290.56442,-0.8418884,0.8418884,294.63898,3.232666,3.232666,294.46683,3.0605164,3.0605164
28.046751,28.567692,0.5209408,0.5209408,28.466015,0.41926384,0.41926384,28.541079,0.49432755,0.49432755
73.082375,74.13449,1.0521164,1.0521164,74.103264,1.0208893,1.0208893,74.04146,0.95908356,0.95908356
265.75024,266.29416,0.5439148,0.5439148,268.42007,2.6698303,2.6698303,268.14835,2.3981018,2.3981018
28.691412,25.934706,-2.7567062,2.7567062,29.18728,0.49586868,0.49586868,29.226044,0.5346317,0.5346317
334.4036,330.59378,-3.8098145,3.8098145,337.7375,3.3338928,3.3338928,337.27548,2.8718872,2.8718872
69.45346,71.63752,2.1840591,2.1840591,70.37904,0.9255829,0.9255829,70.314995,0.8615341,0.8615341
217.52011,223.02472,5.504608,5.504608,219.6157,2.0955963,2.0955963,219.32866,1.808548,1.808548
218.93779,226.28772,7.34993,7.34993,221.02321,2.0854187,2.0854187,220.78714,1.84935,1.84935
59.122627,61.12924,2.0066109,2.0066109,60.00345,0.8808212,0.8808212,59.966606,0.8439789,0.8439789
97.76563,96.10006,-1.6655731,1.6655731,98.75941,0.9937744,0.9937744,98.4347,0.6690674,0.6690674
18.862514,18.629734,-0.23278046,0.23278046,19.328154,0.4656391,0.4656391,19.350306,0.48779106,0.48779106
200.36336,207.4254,7.062042,7.062042,202.28882,1.9254608,1.9254608,202.07248,1.7091217,1.7091217
152.361,150.67717,-1.6838226,1.6838226,153.8617,1.5007019,1.5007019,153.63225,1.2712555,1.2712555
311.32474,308.17468,-3.150055,3.150055,314.37204,3.0473022,3.0473022,314.103,2.7782593,2.7782593
42.35353,40.184837,-2.1686935,2.1686935,42.9031,0.5495682,0.5495682,42.82397,0.4704399,0.4704399
150.63449,142.53137,-8.103119,8.103119,152.20067,1.5661774,1.5661774,151.96165,1.3271637,1.3271637
189.72844,182.78868,-6.9397583,6.9397583,191.76576,2.037323,2.037323,191.64227,1.9138336,1.9138336
231.546,238.11308,6.5670776,6.5670776,233.71895,2.172943,2.172943,233.41055,1.8645477,1.8645477
60.557163,63.274036,2.7168732,2.7168732,61.26611,0.7089462,0.7089462,61.25492,0.6977577,0.6977577
92.63677,95.29614,2.6593704,2.6593704,93.72561,1.0888367,1.0888367,93.76322,1.1264496,1.1264496
295.74982,297.9773,2.227478,2.227478,298.64124,2.8914185,2.8914185,298.35016,2.6003418,2.6003418
326.53137,330.80667,4.275299,4.275299,330.72186,4.1904907,4.1904907,330.11237,3.5809937,3.5809937
64.75628,66.086266,1.3299866,1.3299866,65.450066,0.6937866,0.6937866,65.373825,0.6175461,0.6175461
306.2812,309.21936,2.9381714,2.9381714,309.55893,3.2777405,3.2777405,309.3651,3.0839233,3.0839233
211.84802,201.80762,-10.040405,10.040405,214.69504,2.8470154,2.8470154,214.7023,2.8542786,2.8542786
318.8542,323.04865,4.194458,4.194458,323.16635,4.3121643,4.3121643,322.9739,4.1197205,4.1197205
152.86565,155.15948,2.2938385,2.2938385,155.21521,2.3495636,2.3495636,155.34248,2.4768372,2.4768372
64.58167,72.789894,8.208221,8.208221,66.25616,1.6744843,1.6744843,66.91483,2.3331604,2.3331604
136.28064,141.91675,5.6361084,5.6361084,138.15909,1.8784485,1.8784485,138.44293,2.1622925,2.1622925
71.944885,72.23128,0.2863922,0.2863922,72.71157,0.7666855,0.7666855,72.61876,0.6738739,0.6738739
308.52017,303.1189,-5.4012756,5.4012756,311.9189,3.3987427,3.3987427,311.7631,3.24292,3.24292
197.62387,200.07672,2.4528503,2.4528503,199.78876,2.1648865,2.1648865,199.69438,2.0705109,2.0705109
65.53113,64.9825,-0.54862976,0.54862976,66.25145,0.72032166,0.72032166,66.06264,0.5315094,0.5315094
321.35214,321.08273,-0.26940918,0.26940918,326.9429,5.5907593,5.5907593,327.32812,5.9759827,5.9759827
283.53195,285.60764,2.0756836,2.0756836,286.3199,2.7879333,2.7879333,285.99554,2.4635925,2.4635925
233.80142,232.26062,-1.540802,1.540802,236.07834,2.2769165,2.2769165,235.71835,1.9169312,1.9169312
42.172855,41.35811,-0.81474686,0.81474686,42.731575,0.55871964,0.55871964,42.64566,0.47280502,0.47280502
