E_true,E_pred_direct_energy,Error_direct_energy,|Error_direct_energy|,E_pred_scaled_ratio,Error_scaled_ratio,|Error_scaled_ratio|,E_pred_log_scaled_ratio,Error_log_scaled_ratio,|Error_log_scaled_ratio|
286.60654,286.51688,-0.089660645,0.089660645,289.73666,3.130127,3.130127,289.76062,3.1540833,3.1540833
260.23077,260.75693,0.52615356,0.52615356,263.36203,3.131256,3.131256,263.3157,3.0849304,3.0849304
122.32089,121.11061,-1.2102814,1.2102814,123.57365,1.2527542,1.2527542,123.57026,1.2493668,1.2493668
64.87159,64.58677,-0.28482056,0.28482056,65.58813,0.7165375,0.7165375,65.5715,0.699913,0.699913
237.14056,240.92937,3.788803,3.788803,240.44019,3.2996216,3.2996216,240.4898,3.3492432,3.3492432
174.70476,172.70845,-1.9963074,1.9963074,176.4038,1.6990356,1.6990356,176.36612,1.6613617,1.6613617
170.30234,166.22484,-4.0774994,4.0774994,172.10306,1.8007202,1.8007202,172.01031,1.7079773,1.7079773
125.50073,126.03461,0.5338745,0.5338745,126.696884,1.1961517,1.1961517,126.538414,1.0376816,1.0376816
78.03406,77.10581,-0.92824554,0.92824554,78.84087,0.8068161,0.8068161,78.78212,0.74806213,0.74806213
11.65638,12.040409,0.3840294,0.3840294,12.121025,0.4646454,0.4646454,12.081176,0.4247961,0.4247961
91.69523,89.57927,-2.1159592,2.1159592,92.581,0.8857727,0.8857727,92.39885,0.7036209,0.7036209
341.25247,343.22247,1.9700012,1.9700012,343.74838,2.4959106,2.4959106,343.1647,1.9122314,1.9122314
306.14706,307.7631,1.6160278,1.6160278,310.14212,3.9950562,3.9950562,310.25012,4.103058,4.103058
95.02756,92.87606,-2.151497,2.151497,96.06937,1.0418091,1.0418091,96.06499,1.0374298,1.0374298
263.1248,268.64536,5.520569,5.520569,266.1144,2.989624,2.989624,265.87234,2.7475586,2.7475586
230.50421,231.82388,1.3196716,1.3196716,232.82321,2.3190002,2.3190002,232.80145,2.2972412,2.2972412
96.92186,100.43793,3.5160675,3.5160675,97.9437,1.021843,1.021843,97.91192,0.9900589,0.9900589
56.131493,56.651257,0.51976395,0.51976395,56.753223,0.6217308,0.6217308,56.765236,0.6337433,0.6337433
81.257484,80.38211,-0.87537384,0.87537384,82.19017,0.93268585,0.93268585,82.26327,1.0057831,1.0057831
130.40613,127.280685,-3.1254425,3.1254425,132.21094,1.8048096,1.8048096,132.42569,2.0195618,2.0195618
60.914093,63.93645,3.022358,3.022358,61.5919,0.67780685,0.67780685,61.59354,0.6794472,0.6794472
192.06752,191.82121,-0.24630737,0.24630737,194.01682,1.949295,1.949295,193.92592,1.8583984,1.8583984
289.43768,287.74646,-1.6912231,1.6912231,292.59872,3.1610413,3.1610413,292.52002,3.0823364,3.0823364
134.76501,138.148,3.3829803,3.3829803,136.04932,1.2843018,1.2843018,135.9512,1.1861877,1.1861877
53.3361,55.44301,2.106907,2.106907,53.951965,0.6158638,0.6158638,53.971333,0.635231,0.635231
222.6912,219.99205,-2.6991425,2.6991425,225.02493,2.3337402,2.3337402,224.85402,2.1628265,2.1628265
20.21847,19.574785,-0.6436844,0.6436844,20.687527,0.46905708,0.46905708,20.614172,0.39570236,0.39570236
112.3774,111.05096,-1.3264465,1.3264465,113.52544,1.1480331,1.1480331,113.50011,1.1227036,1.1227036
315.27072,312.89673,-2.373993,2.373993,319.1281,3.8573914,3.8573914,319.1275,3.856781,3.856781
14.639324,12.514316,-2.1250086,2.1250086,15.54781,0.9084854,0.9084854,15.250338,0.6110134,0.6110134
282.86194,284.48593,1.6239929,1.6239929,285.7154,2.8534546,2.8534546,285.53732,2.6753845,2.6753845
132.67125,135.46832,2.7970734,2.7970734,134.09364,1.4223938,1.4223938,134.07336,1.4021149,1.4021149
177.2028,176.65623,-0.5465698,0.5465698,180.15855,2.9557495,2.9557495,180.59822,3.3954163,3.3954163
76.97876,75.19687,-1.7818909,1.7818909,77.75107,0.77230835,0.77230835,77.60411,0.62535095,0.62535095
83.38562,81.796585,-1.589035,1.589035,84.37228,0.9866562,0.9866562,84.3723,0.9866791,0.9866791
280.19928,276.454,-3.7452698,3.7452698,284.3518,4.152527,4.152527,284.3767,4.177429,4.177429
132.23175,132.88536,0.6536102,0.6536102,133.84254,1.6107941,1.6107941,133.69203,1.4602814,1.4602814
215.0195,209.7742,-5.2453003,5.2453003,217.0064,1.9868927,1.9868927,216.86652,1.8470154,1.8470154
246.47224,242.47246,-3.9997864,3.9997864,249.11475,2.6425018,2.6425018,248.93973,2.4674835,2.4674835
15.289129,16.73428,1.4451504,1.4451504,15.6862955,0.39716625,0.39716625,15.696332,0.40720272,0.40720272
76.9415,79.58316,2.6416626,2.6416626,77.97784,1.0363388,1.0363388,77.90978,0.9682846,0.9682846
101.60182,100.71409,-0.88773346,0.88773346,102.617256,1.0154343,1.0154343,102.51649,0.9146652,0.9146652
196.82664,170.88646,-25.940186,25.940186,201.41386,4.587219,4.587219,201.59787,4.771225,4.771225
254.17508,255.84747,1.6723938,1.6723938,256.4764,2.3013306,2.3013306,256.19943,2.024353,2.024353
205.95699,204.08733,-1.8696594,1.8696594,208.07497,2.117981,2.117981,207.95041,1.9934235,1.9934235
231.55904,234.79424,3.235199,3.235199,233.68686,2.1278229,2.1278229,233.54199,1.9829559,1.9829559
187.0769,183.13837,-3.9385376,3.9385376,189.70094,2.6240387,2.6240387,189.79352,2.7166138,2.7166138
260.06348,262.93652,2.8730469,2.8730469,262.51303,2.4495544,2.4495544,262.33804,2.2745667,2.2745667
256.11014,257.12466,1.0145264,1.0145264,258.76425,2.6541138,2.6541138,258.67184,2.5617065,2.5617065
54.64436,55.85712,1.2127609,1.2127609,55.42277,0.77841187,0.77841187,55.34713,0.70277023,0.70277023
102.34844,99.88657,-2.4618683,2.4618683,103.57341,1.224968,1.224968,103.53991,1.1914673,1.1914673
87.12595,85.78985,-1.3361053,1.3361053,88.044785,0.9188309,0.9188309,87.95307,0.8271179,0.8271179
18.564144,19.78623,1.222086,1.222086,18.92101,0.35686493,0.35686493,18.896118,0.33197403,0.33197403
241.08163,239.2763,-1.8053284,1.8053284,243.39053,2.308899,2.308899,243.23029,2.1486511,2.1486511
261.77814,267.49182,5.713684,5.713684,265.27338,3.4952393,3.4952393,265.11542,3.3372803,3.3372803
26.3296,26.958242,0.62864304,0.62864304,26.700005,0.3704052,0.3704052,26.695288,0.36568832,0.36568832
209.9741,210.4802,0.50608826,0.50608826,212.53984,2.5657349,2.5657349,212.46558,2.4914703,2.4914703
86.21608,84.85076,-1.3653183,1.3653183,87.23237,1.0162888,1.0162888,87.167145,0.95106506,0.95106506
338.88446,339.5253,0.6408386,0.6408386,342.9675,4.0830383,4.0830383,342.89948,4.0150146,4.0150146
125.028885,127.50033,2.4714432,2.4714432,126.30331,1.2744217,1.2744217,126.28343,1.2545471,1.2545471
335.56506,331.52823,-4.0368347,4.0368347,339.72293,4.1578674,4.1578674,339.7258,4.160736,4.160736
187.25029,194.73361,7.483322,7.483322,188.97612,1.7258301,1.7258301,188.83118,1.5808868,1.5808868
